Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Player
2004-05,20,CLE,NBA,SF,1,1,31:25,6,13,.462,1,4,.250,0,1,.000,1,8,6,2,0,3,0,13,Lebron James
2005-06,21,CLE,NBA,SF,1,1,30:34,12,21,.571,4,10,.400,1,5,.200,2,6,2,2,0,1,2,29,Lebron James
2006-07,22,CLE,NBA,SF,1,1,32:16,11,20,.550,4,8,.500,2,2,1.000,0,6,6,1,0,4,0,28,Lebron James
2007-08,23,CLE,NBA,SF,1,1,30:15,12,22,.545,2,7,.286,1,1,1.000,1,8,9,2,2,4,3,27,Lebron James
2008-09,24,CLE,NBA,SF,1,1,26:50,8,19,.421,2,5,.400,2,2,1.000,0,5,3,0,0,3,0,20,Lebron James
2009-10,25,CLE,NBA,SF,1,1,32:28,10,22,.455,1,6,.167,4,4,1.000,1,5,6,4,0,2,1,25,Lebron James
2010-11,26,MIA,NBA,SF,1,1,32:20,10,18,.556,0,3,.000,9,10,.900,2,12,10,0,0,4,3,29,Lebron James
2011-12,27,MIA,NBA,SF,1,1,32:09,15,23,.652,6,8,.750,0,0,,0,6,7,0,0,4,2,36,Lebron James
2012-13,28,MIA,NBA,PF,1,1,30:02,7,18,.389,3,7,.429,2,4,.500,0,3,5,1,0,4,0,19,Lebron James
2013-14,29,MIA,NBA,PF,1,1,33:08,11,22,.500,0,7,.000,0,0,,1,7,7,3,0,1,0,22,Lebron James
2014-15,30,CLE,NBA,SF,1,1,31:45,11,21,.524,4,12,.333,4,5,.800,1,5,7,2,0,4,1,30,Lebron James
2015-16,31,CLE,NBA,SF,1,1,20:13,6,13,.462,1,5,.200,0,0,,0,4,7,0,0,4,0,13,Lebron James
2016-17,32,CLE,NBA,SF,1,1,19:29,10,17,.588,3,8,.375,0,0,,0,3,1,0,0,4,2,23,Lebron James
2017-18,33,CLE,NBA,PF,1,1,31:17,12,17,.706,4,8,.500,1,1,1.000,0,10,8,1,0,5,2,29,Lebron James
2018-19,34,LAL,NBA,SF,1,1,26:32,9,17,.529,1,8,.125,0,1,.000,2,8,4,0,2,1,1,19,Lebron James
1984-85,21,CHI,NBA,SG,1,1,22:00,2,9,.222,0,1,.000,3,4,.750,3,6,2,3,1,1,4,7,Michael Jordan
