"Season","Age","Tm","Lg","Pos","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Player","RSorPO"
"2003-04",19,"CLE","NBA","SG",79,79,39.5,7.9,18.9,0.42,0.8,2.7,0.3,7.1,16.1,0.438,0.438,4.4,5.8,0.76,1.3,4.2,5.5,5.9,1.6,0.7,3.5,1.9,20.9,"Lebron James","Regular Season"
"2004-05",20,"CLE","NBA","SF",80,80,42.4,9.9,21.1,0.47,1.4,3.9,0.36,8.6,17.2,0.499,0.504,6,8,0.75,1.4,6,7.4,7.2,2.2,0.7,3.3,1.8,27.2,"Lebron James","Regular Season"
"2005-06",21,"CLE","NBA","SF",79,79,42.5,11.1,23.1,0.48,1.6,4.8,0.33,9.5,18.3,0.518,0.515,7.6,10.3,0.74,0.9,6.1,7,6.6,1.6,0.8,3.3,2.3,31.4,"Lebron James","Regular Season"
"2006-07",22,"CLE","NBA","SF",78,78,40.9,9.9,20.8,0.48,1.3,4,0.32,8.6,16.8,0.513,0.507,6.3,9,0.7,1.1,5.7,6.7,6,1.6,0.7,3.2,2.2,27.3,"Lebron James","Regular Season"
"2007-08",23,"CLE","NBA","SF",75,74,40.4,10.6,21.9,0.48,1.5,4.8,0.31,9.1,17.1,0.531,0.518,7.3,10.3,0.71,1.8,6.1,7.9,7.2,1.8,1.1,3.4,2.2,30,"Lebron James","Regular Season"
"2008-09",24,"CLE","NBA","SF",81,81,37.7,9.7,19.9,0.49,1.6,4.7,0.34,8.1,15.2,0.535,0.53,7.3,9.4,0.78,1.3,6.3,7.6,7.2,1.7,1.1,3,1.7,28.4,"Lebron James","Regular Season"
"2009-10",25,"CLE","NBA","SF",76,76,39,10.1,20.1,0.5,1.7,5.1,0.33,8.4,15,0.56,0.545,7.8,10.2,0.76,0.9,6.4,7.3,8.6,1.6,1,3.4,1.6,29.7,"Lebron James","Regular Season"
"2010-11",26,"MIA","NBA","SF",79,79,38.8,9.6,18.8,0.51,1.2,3.5,0.34,8.4,15.3,0.552,0.541,6.4,8.4,0.76,1,6.5,7.5,7,1.6,0.6,3.6,2.1,26.7,"Lebron James","Regular Season"
"2011-12",27,"MIA","NBA","SF",62,62,37.5,10,18.9,0.53,0.9,2.4,0.38,9.1,16.5,0.556,0.554,6.2,8.1,0.77,1.5,6.4,7.9,6.2,1.9,0.8,3.4,1.5,27.1,"Lebron James","Regular Season"
"2012-13",28,"MIA","NBA","PF",76,76,37.9,10.1,17.8,0.57,1.4,3.3,0.42,8.7,14.5,0.602,0.603,5.3,7,0.76,1.3,6.8,8,7.3,1.7,0.9,3,1.4,26.8,"Lebron James","Regular Season"
"2013-14",29,"MIA","NBA","PF",77,77,37.7,10,17.6,0.57,1.5,4,0.38,8.5,13.6,0.622,0.61,5.7,7.6,0.75,1.1,5.9,6.9,6.3,1.6,0.3,3.5,1.6,27.1,"Lebron James","Regular Season"
"2014-15",30,"CLE","NBA","SF",69,69,36.1,9,18.5,0.49,1.7,4.9,0.35,7.3,13.6,0.536,0.535,5.4,7.7,0.7,0.7,5.3,6,7.4,1.6,0.7,3.9,2,25.3,"Lebron James","Regular Season"
"2015-16",31,"CLE","NBA","SF",76,76,35.6,9.7,18.6,0.52,1.1,3.7,0.3,8.6,14.9,0.573,0.551,4.7,6.5,0.72,1.5,6,7.4,6.8,1.4,0.6,3.3,1.9,25.3,"Lebron James","Regular Season"
