Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,RSorPO
2003-04,19,CLE,NBA,SG,79,79,3122,622,1492,.417,63,217,.290,559,1275,.438,.438,347,460,.754,99,333,432,465,130,58,273,149,1654,Lebron James,Regular Season
2004-05,20,CLE,NBA,SF,80,80,3388,795,1684,.472,108,308,.351,687,1376,.499,.504,477,636,.750,111,477,588,577,177,52,262,146,2175,Lebron James,Regular Season
2005-06,21,CLE,NBA,SF,79,79,3361,875,1823,.480,127,379,.335,748,1444,.518,.515,601,814,.738,75,481,556,521,123,66,260,181,2478,Lebron James,Regular Season
2006-07,22,CLE,NBA,SF,78,78,3190,772,1621,.476,99,310,.319,673,1311,.513,.507,489,701,.698,83,443,526,470,125,55,250,171,2132,Lebron James,Regular Season
2007-08,23,CLE,NBA,SF,75,74,3027,794,1642,.484,113,359,.315,681,1283,.531,.518,549,771,.712,133,459,592,539,138,81,255,165,2250,Lebron James,Regular Season
2008-09,24,CLE,NBA,SF,81,81,3054,789,1613,.489,132,384,.344,657,1229,.535,.530,594,762,.780,106,507,613,587,137,93,241,139,2304,Lebron James,Regular Season
2009-10,25,CLE,NBA,SF,76,76,2966,768,1528,.503,129,387,.333,639,1141,.560,.545,593,773,.767,71,483,554,651,125,77,261,119,2258,Lebron James,Regular Season
2010-11,26,MIA,NBA,SF,79,79,3063,758,1485,.510,92,279,.330,666,1206,.552,.541,503,663,.759,80,510,590,554,124,50,284,163,2111,Lebron James,Regular Season
2011-12,27,MIA,NBA,SF,62,62,2326,621,1169,.531,54,149,.362,567,1020,.556,.554,387,502,.771,94,398,492,387,115,50,213,96,1683,Lebron James,Regular Season
2012-13,28,MIA,NBA,PF,76,76,2877,765,1354,.565,103,254,.406,662,1100,.602,.603,403,535,.753,97,513,610,551,129,67,226,110,2036,Lebron James,Regular Season
2013-14,29,MIA,NBA,PF,77,77,2902,767,1353,.567,116,306,.379,651,1047,.622,.610,439,585,.750,81,452,533,488,121,26,270,126,2089,Lebron James,Regular Season
2014-15,30,CLE,NBA,SF,69,69,2493,624,1279,.488,120,339,.354,504,940,.536,.535,375,528,.710,51,365,416,511,109,49,272,135,1743,Lebron James,Regular Season
2015-16,31,CLE,NBA,SF,76,76,2709,737,1416,.520,87,282,.309,650,1134,.573,.551,359,491,.731,111,454,565,514,104,49,249,143,1920,Lebron James,Regular Season
2016-17,32,CLE,NBA,SF,74,74,2794,736,1344,.548,124,342,.363,612,1002,.611,.594,358,531,.674,97,542,639,646,92,44,303,134,1954,Lebron James,Regular Season
2017-18,33,CLE,NBA,PF,82,82,3026,857,1580,.542,149,406,.367,708,1174,.603,.590,388,531,.731,97,612,709,747,116,71,347,136,2251,Lebron James,Regular Season
2018-19,34,LAL,NBA,SF,55,55,1937,558,1095,.510,111,327,.339,447,768,.582,.560,278,418,.665,57,408,465,454,72,33,197,94,1505,Lebron James,Regular Season
2005-06,21,CLE,NBA,SF,13,13,604,146,307,.476,21,63,.333,125,244,.512,.510,87,118,.737,22,83,105,76,18,9,65,44,400,Lebron James,Playoffs
2006-07,22,CLE,NBA,SF,20,20,893,166,399,.416,21,75,.280,145,324,.448,.442,148,196,.755,26,135,161,159,34,10,66,40,501,Lebron James,Playoffs
2007-08,23,CLE,NBA,SF,13,13,552,113,275,.411,18,70,.257,95,205,.463,.444,122,167,.731,16,86,102,99,23,17,54,33,366,Lebron James,Playoffs
2008-09,24,CLE,NBA,SF,14,14,580,159,312,.510,27,81,.333,132,231,.571,.553,149,199,.749,19,109,128,102,23,12,38,30,494,Lebron James,Playoffs
2009-10,25,CLE,NBA,SF,11,11,460,106,211,.502,20,50,.400,86,161,.534,.550,88,120,.733,15,87,102,84,19,20,42,23,320,Lebron James,Playoffs
2010-11,26,MIA,NBA,SF,21,21,922,174,373,.466,30,85,.353,144,288,.500,.507,119,156,.763,34,142,176,123,35,25,66,56,497,Lebron James,Playoffs
2011-12,27,MIA,NBA,SF,23,23,983,251,502,.500,22,85,.259,229,417,.549,.522,173,234,.739,54,170,224,129,43,16,81,47,697,Lebron James,Playoffs
2012-13,28,MIA,NBA,PF,23,23,960,212,432,.491,36,96,.375,176,336,.524,.532,136,175,.777,37,156,193,152,41,18,70,43,596,Lebron James,Playoffs
2013-14,29,MIA,NBA,PF,20,20,763,192,340,.565,35,86,.407,157,254,.618,.616,129,160,.806,14,127,141,95,36,11,61,46,548,Lebron James,Playoffs
2014-15,30,CLE,NBA,SF,20,20,844,227,544,.417,25,110,.227,202,434,.465,.440,122,167,.731,37,189,226,169,33,21,82,58,601,Lebron James,Playoffs
2015-16,31,CLE,NBA,SF,21,21,822,219,417,.525,32,94,.340,187,323,.579,.564,82,124,.661,42,158,200,160,49,27,75,54,552,Lebron James,Playoffs
2016-17,32,CLE,NBA,SF,18,18,744,217,384,.565,44,107,.411,173,277,.625,.622,113,162,.698,19,145,164,141,35,23,72,43,591,Lebron James,Playoffs
2017-18,33,CLE,NBA,PF,22,22,922,275,510,.539,39,114,.342,236,396,.596,.577,159,213,.746,31,169,200,198,30,23,94,52,748,Lebron James,Playoffs
1984-85,21,CHI,NBA,SG,82,82,3144,837,1625,.515,9,52,.173,828,1573,.526,.518,630,746,.845,167,367,534,481,196,69,291,285,2313,Michael Jordan,Regular Season
1985-86,22,CHI,NBA,SG,18,7,451,150,328,.457,3,18,.167,147,310,.474,.462,105,125,.840,23,41,64,53,37,21,45,46,408,Michael Jordan,Regular Season
1986-87,23,CHI,NBA,SG,82,82,3281,1098,2279,.482,12,66,.182,1086,2213,.491,.484,833,972,.857,166,264,430,377,236,125,272,237,3041,Michael Jordan,Regular Season
1987-88,24,CHI,NBA,SG,82,82,3311,1069,1998,.535,7,53,.132,1062,1945,.546,.537,723,860,.841,139,310,449,485,259,131,252,270,2868,Michael Jordan,Regular Season
1988-89,25,CHI,NBA,SG,81,81,3255,966,1795,.538,27,98,.276,939,1697,.553,.546,674,793,.850,149,503,652,650,234,65,290,247,2633,Michael Jordan,Regular Season
1989-90,26,CHI,NBA,SG,82,82,3197,1034,1964,.526,92,245,.376,942,1719,.548,.550,593,699,.848,143,422,565,519,227,54,247,241,2753,Michael Jordan,Regular Season
1990-91,27,CHI,NBA,SG,82,82,3034,990,1837,.539,29,93,.312,961,1744,.551,.547,571,671,.851,118,374,492,453,223,83,202,229,2580,Michael Jordan,Regular Season
1991-92,28,CHI,NBA,SG,80,80,3102,943,1818,.519,27,100,.270,916,1718,.533,.526,491,590,.832,91,420,511,489,182,75,200,201,2404,Michael Jordan,Regular Season
1992-93,29,CHI,NBA,SG,78,78,3067,992,2003,.495,81,230,.352,911,1773,.514,.515,476,569,.837,135,387,522,428,221,61,207,188,2541,Michael Jordan,Regular Season
